party_family,year,environment_climate_issue1_sum,environment_climate_issue1_mean,healthcare_issue1_sum,healthcare_issue1_mean,climate_health_sum,climate_health_mean
Agrarian,2010.0,0,0.0,0,0.0,0,0.0
Agrarian,2011.0,0,0.0,0,0.0,0,0.0
Agrarian,2012.0,0,0.0,1,0.008130081300813009,1,0.008130081300813009
Agrarian,2013.0,3,0.01910828025477707,4,0.025477707006369428,1,0.006369426751592357
Agrarian,2014.0,50,0.09380863039399624,9,0.016885553470919325,6,0.01125703564727955
Agrarian,2015.0,45,0.06912442396313365,21,0.03225806451612903,4,0.006144393241167435
Agrarian,2016.0,82,0.05722260990928123,28,0.019539427773900907,15,0.0104675505931612
Agrarian,2017.0,130,0.07475560667050028,69,0.039677975848188614,14,0.008050603795284647
Agrarian,2018.0,44,0.040293040293040296,53,0.048534798534798536,5,0.004578754578754579
Agrarian,2019.0,64,0.06986899563318777,54,0.05895196506550218,10,0.010917030567685589
Agrarian,2020.0,40,0.03606853020739405,150,0.13525698827772767,18,0.016230838593327322
Agrarian,2021.0,41,0.047180667433831994,119,0.13693901035673187,20,0.023014959723820484
Agrarian,2022.0,35,0.03954802259887006,58,0.0655367231638418,12,0.013559322033898305
Agrarian,2023.0,23,0.02715466351829988,44,0.05194805194805195,13,0.015348288075560802
Agrarian,2024.0,19,0.01903807615230461,66,0.06613226452905811,13,0.013026052104208416
Christian Democracy,2010.0,56,0.02315963606286187,71,0.029363110008271298,6,0.0024813895781637717
Christian Democracy,2011.0,81,0.0288153681963714,103,0.03664176449662042,5,0.0017787264318747777
Christian Democracy,2012.0,59,0.02587719298245614,96,0.042105263157894736,10,0.0043859649122807015
Christian Democracy,2013.0,43,0.019282511210762333,98,0.04394618834080718,8,0.003587443946188341
Christian Democracy,2014.0,51,0.013877551020408163,222,0.060408163265306125,2,0.0005442176870748299
Christian Democracy,2015.0,55,0.018656716417910446,153,0.05189959294436906,12,0.004070556309362279
Christian Democracy,2016.0,44,0.018425460636515914,104,0.04355108877721943,1,0.0004187604690117253
Christian Democracy,2017.0,49,0.02356902356902357,104,0.050024050024050026,15,0.007215007215007215
Christian Democracy,2018.0,106,0.029994340690435765,177,0.0500848896434635,24,0.006791171477079796
Christian Democracy,2019.0,175,0.03173164097914778,244,0.0442429737080689,33,0.005983680870353581
Christian Democracy,2020.0,92,0.021217712177121772,555,0.12799815498154982,50,0.011531365313653136
Christian Democracy,2021.0,128,0.031105710814094776,495,0.12029161603888214,44,0.010692588092345079
Christian Democracy,2022.0,96,0.02338611449451888,249,0.06065773447015834,52,0.01266747868453106
Christian Democracy,2023.0,100,0.029248318221702253,225,0.06580871599883006,62,0.018133957297455396
Christian Democracy,2024.0,207,0.06038506417736289,154,0.044924154025670945,45,0.013127187864644107
Communist/Socialist,2010.0,79,0.017435444714191128,346,0.07636283381152063,44,0.009710880600308983
